Previous ATC code,Substance name,New ATC code,Year changed
A01AD02,benzydamine,R02AX03,2018
A03AE02,tegaserod,A06AX06,2013
A03AE04,prucalopride,A06AX05,2013
A10BX04,exenatide,A10BJ01,2017
A10BX07,liraglutide,A10BJ02,2017
A10BX09,dapagliflozin,A10BK01,2017
A10BX10,lixisenatide,A10BJ03,2017
A10BX11,canagliflozin,A10BK02,2017
A10BX12,empagliflozin,A10BK03,2017
A10BX13,albiglutide,A10BJ04,2017
A10BX14,dulaglutide,A10BJ05,2017
A11CC07,paricalcitol,H05BX02,2010
A12AA12,calcium acetate,V03AE07,2016
B01AC14,anagrelide,L01XX35,2006
B01AX06,rivaroxaban,B01AF01,2013
B02AB03,"c1-inhibitor, plasma derived",B06AC01,2012
B02BC10,"fibrinogen, human",B02BC30,2014
B02BD09,nonacog alfa,B02BD04,2017
B02BD12,trenonacog alfa,B02BD04,2017
B03AB06,ferric citrate,V03AE08,2016
B03AC01,ferric oxide polymaltose complexes,B03AC,2014
B03AC02,saccharated iron oxide,B03AC,2014
B03AC03,iron-sorbitol-citric acid complex,B03AC,2014
B03AC05,ferric sorbitol gluconic acid complex,B03AC,2014
B03AC06,ferric oxide dextran complexes,B03AC,2014
B03AC07,ferric sodium gluconate complex,B03AC,2014
B06AA11,bromelains,D03BA03,2014
C01EB12,tedisamil,C01BD06,2009
C01EB19,icatibant,B06AC02,2012
C04AX13,piribedil,N04BC08,2006
C07AA57,sotalol and acetylsalicylic acid,C07FX02,2017
C07AB52,metoprolol and acetylsalicylic acid,C07FX03,2017
C07AB57,bisoprolol and acetylsalicylic acid,C07FX04,2017
C07FA05,propranolol and other combinations,C07FX01,2017
C07FB02,metoprolol and felodipine,C07FB02,2017
C07FB02,metoprolol and amlodipine,C07FB13,2017
C10AA51,"simvastatin, combinations",C10BX01,2006
C10AA52,"lovastatin, combinations",C10BA01,2006
C10AA53,"pravastatin, combinations",C10BX02,2006
C10AA55,"atorvastatin, combinations",C10BX03,2006
C10AX04,benfluorex,A10BX06,2009
D03AX07,glyceryl trinitrate,C05AE01,2008
D03AX08,isosorbide dinitrate,C05AE02,2008
D11AX14,tacrolimus,D11AH01,2010
D11AX15,pimecrolimus,D11AH02,2010
D11AX17,cromoglicic acid,D11AH03,2010
D11AX19,alitretinoin,D11AH04,2012
G03AC03,levonorgestrel,G03AD01,2011
G03DC05,tibolone,G03CX01,2008
G04BE05,phentolamine,V03AB36,2011
H01BA06,argipressin,H01BA01,2018
H01CA03,histrelin,L02AE05,2013
J01DA01,cefalexin,J01DB01,2005
J01DA02,cefaloridine,J01DB02,2005
J01DA03,cefalotin,J01DB03,2005
