Group,Group Long,TUI,Type Name,Diagnosis_or_Pathology,Other_Finding,Clinical_Drug,Nutrient_or_Body_Substance,External_Substance,Therapeutic,Diagnostic
ACTI,Activities & Behaviors,T052,Activity,x,x,,,,x,x
ACTI,Activities & Behaviors,T053,Behavior,x,x,,,,,
ACTI,Activities & Behaviors,T056,Daily or Recreational Activity,x,x,,,,,
ACTI,Activities & Behaviors,T051,Event,x,x,,,,,
ACTI,Activities & Behaviors,T064,Governmental or Regulatory Activity,x,x,,,,x,x
ACTI,Activities & Behaviors,T055,Individual Behavior,x,x,,,,,
ACTI,Activities & Behaviors,T066,Machine Activity,x,x,,,,x,x
ACTI,Activities & Behaviors,T057,Occupational Activity,x,x,,,,x,x
ACTI,Activities & Behaviors,T054,Social Behavior,x,x,,,,,
ANAT,Anatomy,T017,Anatomical Structure,x,x,,x,,,
ANAT,Anatomy,T029,Body Location or Region,x,x,,x,,,
ANAT,Anatomy,T023,"Body Part, Organ, or Organ Component",x,x,,x,,,
ANAT,Anatomy,T030,Body Space or Junction,x,x,,x,,,
ANAT,Anatomy,T031,Body Substance,x,x,,x,,,
ANAT,Anatomy,T022,Body System,x,x,,x,,,
ANAT,Anatomy,T025,Cell,x,x,,x,,,
ANAT,Anatomy,T026,Cell Component,x,x,,x,,,
ANAT,Anatomy,T018,Embryonic Structure,x,x,,x,,,
ANAT,Anatomy,T021,Fully Formed Anatomical Structure,x,x,,x,,,
ANAT,Anatomy,T024,Tissue,x,x,,x,,,
CHEM,Chemicals & Drugs,T116,"Amino Acid, Peptide, or Protein",,,x,x,x,x,x
CHEM,Chemicals & Drugs,T195,Antibiotic,,,x,x,x,x,x
CHEM,Chemicals & Drugs,T123,Biologically Active Substance,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T122,Biomedical or Dental Material,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T103,Chemical,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T120,Chemical Viewed Functionally,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T104,Chemical Viewed Structurally,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T200,Clinical Drug,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T196,"Element, Ion, or Isotope",x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T126,Enzyme,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T131,Hazardous or Poisonous Substance,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T125,Hormone,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T129,Immunologic Factor,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T130,"Indicator, Reagent, or Diagnostic Aid",x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T197,Inorganic Chemical,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T114,"Nucleic Acid, Nucleoside, or Nucleotide",x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T109,Organic Chemical,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T121,Pharmacologic Substance,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T192,Receptor,x,x,x,x,x,x,x
CHEM,Chemicals & Drugs,T127,Vitamin,x,x,x,x,x,x,x
CONC,Concepts & Ideas,T185,Classification,,x,,,,,
CONC,Concepts & Ideas,T077,Conceptual Entity,,x,,,,,
CONC,Concepts & Ideas,T169,Functional Concept,,x,,,,,
CONC,Concepts & Ideas,T102,Group Attribute,,x,,,,,
CONC,Concepts & Ideas,T078,Idea or Concept,,x,,,,,
CONC,Concepts & Ideas,T170,Intellectual Product,,,,,,,
CONC,Concepts & Ideas,T171,Language,,x,,,,,
CONC,Concepts & Ideas,T080,Qualitative Concept,,x,,,,,
CONC,Concepts & Ideas,T081,Quantitative Concept,,x,,,,,
